dataset,algorithm,run_id,score,global_accuracy,personalized_accuracy,mean_client_accuracy,p10_client_accuracy,coefficient_mean,coefficient_variance,mean_abs_coefficient_delta,clipping_frequency,unstable,run_dir
Cifar100_pathological,Ditto,ditto_jr0.5_lam0,0.6093302232589137,0.3910029990003332,0.6093302232589137,0.5912838445829034,0.528789362049274,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.5_lam0
Cifar100_pathological,Ditto,ditto_jr0.5_lam0.001,0.6081306231256248,0.3910029990003332,0.6081306231256248,0.5906696646021776,0.5265230536659109,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.5_lam0.001
Cifar100_pathological,Ditto,ditto_jr0.5_lam0.01,0.6059980006664445,0.3910029990003332,0.6059980006664445,0.5887590262855859,0.5293859570259822,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.5_lam0.01
Cifar100_pathological,Ditto,ditto_jr0.5_lam0.5,0.6015994668443853,0.3910029990003332,0.6015994668443853,0.6017176054181723,0.5681542093858146,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.5_lam0.5
Cifar100_pathological,Ditto,ditto_jr0.5_lam1.0,0.5994001999333556,0.3910029990003332,0.5994001999333556,0.6007423983981403,0.5587328180083445,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.5_lam1.0
Cifar100_pathological,Ditto,ditto_jr0.5_lam0.1,0.5994001999333556,0.3910029990003332,0.5994001999333556,0.5901968984029149,0.5304316788443773,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.5_lam0.1
Cifar100_pathological,Ditto,ditto_jr0.2_lam1.0,0.5946017994002,0.27684105298233924,0.5946017994002,0.5958758718439363,0.5353490459281227,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.2_lam1.0
Cifar100_pathological,Ditto,ditto_jr0.2_lam0.5,0.5916694435188271,0.27684105298233924,0.5916694435188271,0.5890794188317089,0.5406826178747361,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.2_lam0.5
Cifar100_pathological,Ditto,ditto_jr0.2_lam0.1,0.5680106631122959,0.27684105298233924,0.5680106631122959,0.5513870999124557,0.45999930836532144,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.2_lam0.1
Cifar100_pathological,Ditto,ditto_jr0.2_lam0,0.5475508163945352,0.27684105298233924,0.5475508163945352,0.5229461256659917,0.4160869565217392,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.2_lam0
Cifar100_pathological,Ditto,ditto_jr0.2_lam0.01,0.5472175941352883,0.27684105298233924,0.5472175941352883,0.5233570445438127,0.42102490335341186,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.2_lam0.01
Cifar100_pathological,Ditto,ditto_jr0.2_lam0.001,0.5467510829723425,0.27684105298233924,0.5467510829723425,0.5223167943521169,0.4178527062999112,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/Ditto/ditto_jr0.2_lam0.001
Cifar100_pathological,FedProx,fedprox_jr0.5_mu0,0.3963345551482839,0.3963345551482839,0.0,0.4275990480812402,0.11963216361362466,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.5_mu0
Cifar100_pathological,FedProx,fedprox_jr0.5_mu0.01,0.3963345551482839,0.3963345551482839,0.0,0.42877985916964134,0.12054586919738101,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.5_mu0.01
Cifar100_pathological,FedProx,fedprox_jr0.5_mu0.001,0.39573475508163947,0.39573475508163947,0.0,0.42751524157211857,0.11896000392358813,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.5_mu0.001
Cifar100_pathological,FedProx,fedprox_jr0.5_mu0.1,0.39440186604465177,0.39440186604465177,0.0,0.4262996770683884,0.12059834718850389,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.5_mu0.1
Cifar100_pathological,FedProx,fedprox_jr0.5_mu0.5,0.3828723758747084,0.3828723758747084,0.0,0.41403749372701276,0.1187709360209912,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.5_mu0.5
Cifar100_pathological,FedProx,fedprox_jr0.5_mu1.0,0.3688770409863379,0.3688770409863379,0.0,0.4003780140525266,0.12175359866598004,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.5_mu1.0
Cifar100_pathological,FedProx,fedprox_jr0.2_mu0.001,0.26844385204931687,0.26844385204931687,0.0,0.26922999038325035,0.06162750637359609,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.2_mu0.001
Cifar100_pathological,FedProx,fedprox_jr0.2_mu0.1,0.2679773408863712,0.2679773408863712,0.0,0.26837870797004093,0.06178598497898436,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.2_mu0.1
Cifar100_pathological,FedProx,fedprox_jr0.2_mu0.01,0.26751082972342555,0.26751082972342555,0.0,0.2680132334935442,0.061865224281678496,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.2_mu0.01
Cifar100_pathological,FedProx,fedprox_jr0.2_mu0,0.26631122959013664,0.26631122959013664,0.0,0.2664589283168302,0.05929511472472956,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.2_mu0
Cifar100_pathological,FedProx,fedprox_jr0.2_mu0.5,0.26251249583472175,0.26251249583472175,0.0,0.2637914926307922,0.057596637497416114,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.2_mu0.5
Cifar100_pathological,FedProx,fedprox_jr0.2_mu1.0,0.2542485838053982,0.2542485838053982,0.0,0.2545030049713392,0.051391855577757876,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_pathological/FedProx/fedprox_jr0.2_mu1.0
Cifar100_practical,Ditto,ditto_jr0.5_lam0.5,0.48207622601279315,0.3686034115138593,0.48207622601279315,0.48075705225316606,0.45558642270971034,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.5_lam0.5
Cifar100_practical,Ditto,ditto_jr0.5_lam1.0,0.4820095948827292,0.3686034115138593,0.4820095948827292,0.4808605196923046,0.4626017172455942,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.5_lam1.0
Cifar100_practical,Ditto,ditto_jr0.2_lam1.0,0.4761460554371002,0.24893390191897655,0.4761460554371002,0.4759685520745799,0.42308887844724763,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.2_lam1.0
Cifar100_practical,Ditto,ditto_jr0.2_lam0.5,0.47288113006396587,0.24893390191897655,0.47288113006396587,0.4725215362736349,0.4180013192612137,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.2_lam0.5
Cifar100_practical,Ditto,ditto_jr0.5_lam0.1,0.4719482942430704,0.3686034115138593,0.4719482942430704,0.4708623461154282,0.4444996320824135,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.5_lam0.1
Cifar100_practical,Ditto,ditto_jr0.5_lam0.01,0.4540911513859275,0.3686034115138593,0.4540911513859275,0.45270717776695757,0.40090632350906324,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.5_lam0.01
Cifar100_practical,Ditto,ditto_jr0.5_lam0.001,0.4505597014925373,0.3686034115138593,0.4505597014925373,0.44903699233826033,0.39489535768645356,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.5_lam0.001
Cifar100_practical,Ditto,ditto_jr0.5_lam0,0.449227078891258,0.3686034115138593,0.449227078891258,0.4478576613165023,0.3913940777639408,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.5_lam0
Cifar100_practical,Ditto,ditto_jr0.2_lam0.1,0.4427638592750533,0.24893390191897655,0.4427638592750533,0.44191461837230617,0.371507195240072,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.2_lam0.1
Cifar100_practical,Ditto,ditto_jr0.2_lam0.01,0.40631663113006394,0.24893390191897655,0.40631663113006394,0.4055444765497746,0.30949512245745125,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.2_lam0.01
Cifar100_practical,Ditto,ditto_jr0.2_lam0,0.40378464818763327,0.24893390191897655,0.40378464818763327,0.40306248939520994,0.31062560536875605,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.2_lam0
Cifar100_practical,Ditto,ditto_jr0.2_lam0.001,0.4035847547974414,0.24893390191897655,0.4035847547974414,0.40285878654651497,0.31286719939117197,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/Ditto/ditto_jr0.2_lam0.001
Cifar100_practical,FedProx,fedprox_jr0.5_mu0,0.3709355010660981,0.3709355010660981,0.0,0.37113477540510575,0.20601851851851852,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.5_mu0
Cifar100_practical,FedProx,fedprox_jr0.5_mu0.01,0.3702691897654584,0.3702691897654584,0.0,0.3705538761318766,0.20494708994708996,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.5_mu0.01
Cifar100_practical,FedProx,fedprox_jr0.5_mu0.001,0.3697361407249467,0.3697361407249467,0.0,0.3699641887312931,0.20373321123321125,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.5_mu0.001
Cifar100_practical,FedProx,fedprox_jr0.5_mu0.1,0.36820362473347545,0.36820362473347545,0.0,0.36849933620146363,0.2046621896621897,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.5_mu0.1
Cifar100_practical,FedProx,fedprox_jr0.5_mu0.5,0.3601412579957356,0.3601412579957356,0.0,0.3604860637584727,0.20102055352055354,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.5_mu0.5
Cifar100_practical,FedProx,fedprox_jr0.5_mu1.0,0.3472814498933902,0.3472814498933902,0.0,0.3476320367687082,0.18666463166463168,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.5_mu1.0
Cifar100_practical,FedProx,fedprox_jr0.2_mu0.01,0.2536647121535181,0.2536647121535181,0.0,0.25682295757444434,0.13023711055969123,0.01,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.2_mu0.01
Cifar100_practical,FedProx,fedprox_jr0.2_mu0.001,0.2535314498933902,0.2535314498933902,0.0,0.25666237966750516,0.12698188896009874,0.001,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.2_mu0.001
Cifar100_practical,FedProx,fedprox_jr0.2_mu0,0.2533315565031983,0.2533315565031983,0.0,0.25644809897958515,0.12924652060734093,0.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.2_mu0
Cifar100_practical,FedProx,fedprox_jr0.2_mu0.1,0.2523320895522388,0.2523320895522388,0.0,0.2554373180664535,0.12698188896009874,0.1,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.2_mu0.1
Cifar100_practical,FedProx,fedprox_jr0.2_mu0.5,0.24593550106609807,0.24593550106609807,0.0,0.24894834190996276,0.1237958786090542,0.5,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.2_mu0.5
Cifar100_practical,FedProx,fedprox_jr0.2_mu1.0,0.23560767590618337,0.23560767590618337,0.0,0.23864407396926088,0.11737476651383937,1.0,0.0,0.0,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/core_partic_sweep/Cifar100_practical/FedProx/fedprox_jr0.2_mu1.0
