dataset,algorithm,run_id,score,global_accuracy,personalized_accuracy,mean_client_accuracy,p10_client_accuracy,coefficient_mean,coefficient_variance,mean_abs_coefficient_delta,clipping_frequency,unstable,run_dir
Cifar100_pathological,AdaProxDitto,adaditto_jr0.5_seed0,0.5984005331556148,0.5905364878373875,0.5984005331556148,0.5900371660485078,0.5332821029646426,0.1414213181942072,0.0010297643052632676,0.023262777267421323,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.5_seed0
Cifar100_pathological,AdaProxDitto,adaditto_jr0.5_seed2,0.5940686437854049,0.59026991002999,0.5940686437854049,0.5830748927962397,0.5037934410181106,0.1382455782025982,0.0018512383029424553,0.017361235923939764,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.5_seed2
Cifar100_pathological,AdaProxDitto,adaditto_jr0.5_seed3,0.5920026657780739,0.5946017994002,0.5920026657780739,0.5855084751313279,0.5229486277269528,0.13406828258222397,0.0011622249939644321,0.017943666000251064,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.5_seed3
Cifar100_pathological,AdaProxDitto,adaditto_jr0.5_seed4,0.5915361546151283,0.5913362212595802,0.5915361546151283,0.5858388935540697,0.5040278180237612,0.13173569569693216,0.000953599785649154,0.021796861920028103,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.5_seed4
Cifar100_pathological,AdaProxDitto,adaditto_jr0.5_seed1,0.5836054648450516,0.5886037987337555,0.5836054648450516,0.5752293800701395,0.486893347647429,0.13148681064603074,0.0010414688969994333,0.021010111517595444,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.5_seed1
Cifar100_pathological,AdaProxDitto,adaditto_jr0.2_seed3,0.578807064311896,0.5956014661779407,0.578807064311896,0.5686143613465212,0.5027042535075704,0.14805864379947903,0.0017347357340207926,0.01852916002833835,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.2_seed3
Cifar100_pathological,AdaProxDitto,adaditto_jr0.2_seed4,0.573942019326891,0.5936021326224592,0.573942019326891,0.5612305824271321,0.5027072858128759,0.13941471291650903,0.0012945916684089208,0.02089351800635901,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.2_seed4
Cifar100_pathological,AdaProxDitto,adaditto_jr0.2_seed2,0.5730089970009997,0.5851382872375874,0.5730089970009997,0.5659730338685077,0.5203969097892841,0.13697993391321367,0.0014735078994992227,0.015392474403168177,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.2_seed2
Cifar100_pathological,AdaProxDitto,adaditto_jr0.2_seed1,0.5710096634455182,0.5866044651782739,0.5710096634455182,0.5580222624599529,0.48352609919861383,0.12077648377961567,0.0012169766908750915,0.016029024368650856,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.2_seed1
Cifar100_pathological,AdaProxDitto,adaditto_jr0.2_seed0,0.5636121292902366,0.5884705098300567,0.5636121292902366,0.5494349869458295,0.47066026410564227,0.14659737179889176,0.0010152525916850125,0.020716231455131632,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxDitto/adaditto_jr0.2_seed0
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.5_seed3,0.4253915361546151,0.4253915361546151,0.0,0.3917747975898005,0.14456373853889384,0.1334872193585577,0.001140647474736019,0.01849165896667925,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.5_seed3
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.5_seed1,0.39093635454848386,0.39093635454848386,0.0,0.3828217103415472,0.08563043683609416,0.13102303495242917,0.0009658269178915482,0.02118431354291991,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.5_seed1
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.5_seed0,0.3891369543485505,0.3891369543485505,0.0,0.42298428599325055,0.12290885014345619,0.14086935323622837,0.0010587170277209525,0.023370004828845388,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.5_seed0
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.5_seed4,0.37067644118627124,0.37067644118627124,0.0,0.39735193206177827,0.09974292166058711,0.1294530997679986,0.0009073992825891398,0.021149840456938893,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.5_seed4
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.5_seed2,0.3548817060979673,0.3548817060979673,0.0,0.4034318390230096,0.12931919245551687,0.13607783614391206,0.0016675446582988067,0.01753194794846163,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.5_seed2
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.2_seed0,0.2757080973008997,0.2757080973008997,0.0,0.27345842596947084,0.0557396816647144,0.14858328860140751,0.0010509237225043478,0.02103628352758216,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.2_seed0
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.2_seed4,0.25791402865711427,0.25791402865711427,0.0,0.2500761786713297,0.0362150462872106,0.13962881239076558,0.0013132035958737425,0.01993133403908388,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.2_seed4
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.2_seed3,0.24651782739086972,0.24651782739086972,0.0,0.21997657119262579,0.019683307886574672,0.1471003931844385,0.0020074803418943495,0.017445183058304902,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.2_seed3
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.2_seed2,0.1652115961346218,0.1652115961346218,0.0,0.1880866285388507,0.007917888563049855,0.13721432529064995,0.0013594631164986016,0.01593674913569081,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.2_seed2
Cifar100_pathological,AdaProxFedProx,adaprox_jr0.2_seed1,0.1462179273575475,0.1462179273575475,0.0,0.17013075710330383,0.029374309900625697,0.12156361378323317,0.0011508783391019337,0.01757391755987843,0.0,0,experiments/runs/core_participation/Cifar100_pathological/AdaProxFedProx/adaprox_jr0.2_seed1
Cifar100_pathological,Ditto,ditto_jr0.5_seed2,0.6139953348883705,0.3630123292235921,0.6139953348883705,0.5949727481538041,0.5198237885462554,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.5_seed2
Cifar100_pathological,Ditto,ditto_jr0.5_seed4,0.6113295568143952,0.3793402199266911,0.6113295568143952,0.5930609966244443,0.5242147293700089,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.5_seed4
Cifar100_pathological,Ditto,ditto_jr0.5_seed1,0.6106631122959013,0.3940019993335555,0.6106631122959013,0.5938782523502845,0.5298008092125739,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.5_seed1
Cifar100_pathological,Ditto,ditto_jr0.5_seed0,0.6093302232589137,0.3910029990003332,0.6093302232589137,0.5912838445829034,0.528789362049274,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.5_seed0
Cifar100_pathological,Ditto,ditto_jr0.5_seed3,0.6063312229256914,0.43418860379873375,0.6063312229256914,0.5862162651783367,0.4897291564692446,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.5_seed3
Cifar100_pathological,Ditto,ditto_jr0.2_seed0,0.5946017994002,0.27684105298233924,0.5946017994002,0.5958758718439363,0.5353490459281227,1.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.2_seed0
Cifar100_pathological,Ditto,ditto_jr0.2_seed2,0.5870043318893702,0.17154281906031324,0.5870043318893702,0.5858801063031034,0.5396150337529647,1.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.2_seed2
Cifar100_pathological,Ditto,ditto_jr0.2_seed3,0.5849383538820393,0.2465844718427191,0.5849383538820393,0.5847293602721304,0.5226303854875283,1.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.2_seed3
Cifar100_pathological,Ditto,ditto_jr0.2_seed4,0.5844718427190936,0.26124625124958345,0.5844718427190936,0.5835125424397316,0.513154777329434,1.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.2_seed4
Cifar100_pathological,Ditto,ditto_jr0.2_seed1,0.5815394868377207,0.1453515494835055,0.5815394868377207,0.5796641325067419,0.5323095975232198,1.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/Ditto/ditto_jr0.2_seed1
Cifar100_pathological,FedProx,fedprox_jr0.5_seed3,0.4279240253248917,0.4279240253248917,0.0,0.39141900989540834,0.13035295277531303,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.5_seed3
Cifar100_pathological,FedProx,fedprox_jr0.5_seed0,0.3963345551482839,0.3963345551482839,0.0,0.4275990480812402,0.11963216361362466,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.5_seed0
Cifar100_pathological,FedProx,fedprox_jr0.5_seed1,0.3900699766744419,0.3900699766744419,0.0,0.3837771823900155,0.08264033799623875,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.5_seed1
Cifar100_pathological,FedProx,fedprox_jr0.5_seed4,0.377407530823059,0.377407530823059,0.0,0.4029605807400612,0.09866770887615077,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.5_seed4
Cifar100_pathological,FedProx,fedprox_jr0.5_seed2,0.36361212929023656,0.36361212929023656,0.0,0.41574627975791134,0.13278515056987877,0.0,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.5_seed2
Cifar100_pathological,FedProx,fedprox_jr0.2_seed0,0.26844385204931687,0.26844385204931687,0.0,0.26922999038325035,0.06162750637359609,0.001,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.2_seed0
Cifar100_pathological,FedProx,fedprox_jr0.2_seed4,0.2572475841386205,0.2572475841386205,0.0,0.24700565799615212,0.04612536956393561,0.001,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.2_seed4
Cifar100_pathological,FedProx,fedprox_jr0.2_seed3,0.2449850049983339,0.2449850049983339,0.0,0.2168184557618564,0.0202729044834308,0.001,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.2_seed3
Cifar100_pathological,FedProx,fedprox_jr0.2_seed2,0.16747750749750084,0.16747750749750084,0.0,0.19154165793967481,0.006237623762376239,0.001,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.2_seed2
Cifar100_pathological,FedProx,fedprox_jr0.2_seed1,0.14588470509830057,0.14588470509830057,0.0,0.1688123468194375,0.03174825105629274,0.001,0.0,0.0,0.0,0,experiments/runs/core_participation/Cifar100_pathological/FedProx/fedprox_jr0.2_seed1
Cifar100_practical,AdaProxDitto,adaditto_jr0.5_seed4,0.46781716417910446,0.4780783582089552,0.46781716417910446,0.46624848467933094,0.42865445954373066,0.10573547391898623,0.0005695525585961216,0.005886002928292256,0.0,0,experiments/runs/core_participation/Cifar100_practical/AdaProxDitto/adaditto_jr0.5_seed4
Cifar100_practical,AdaProxDitto,adaditto_jr0.5_seed0,0.46655117270788915,0.48294243070362475,0.46655117270788915,0.46556846880365665,0.4311322663723326,0.10455121940373249,0.0007615864626643549,0.005674562872007759,0.0,0,experiments/runs/core_participation/Cifar100_practical/AdaProxDitto/adaditto_jr0.5_seed0
