dataset,algorithm,run_id,score,global_accuracy,personalized_accuracy,mean_client_accuracy,p10_client_accuracy,coefficient_mean,coefficient_variance,mean_abs_coefficient_delta,clipping_frequency,unstable,run_dir
Cifar100_pathological,AdaProxDitto,ada_cdr0.6_jr1.0_seed0,0.6045984671776075,0.5983338887037654,0.6045984671776075,0.5992046995802834,0.5273717762967256,0.13488865466797106,0.001892460938476412,0.015585789223574764,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.6_jr1.0_seed0
Cifar100_pathological,AdaProxDitto,ada_cdr0.3_jr1.0_seed0,0.6045318227257581,0.5985338220593136,0.6045318227257581,0.5959299555926829,0.5199043755433208,0.12166131581409896,0.0012916849123862306,0.01933875908844755,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.3_jr1.0_seed0
Cifar100_pathological,AdaProxDitto,ada_cdr0.0_jr1.0_seed0,0.6012662445851383,0.5993335554815061,0.6012662445851383,0.5925877656286257,0.5215968294512356,0.10050996777182286,0.0005782821392204176,0.003386527473524594,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.0_jr1.0_seed0
Cifar100_pathological,AdaProxDitto,ada_cdr0.0_jr0.5_seed0,0.5984005331556148,0.5905364878373875,0.5984005331556148,0.5900371660485078,0.5332821029646426,0.1414213181942072,0.0010297643052632676,0.023262777267421323,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.0_jr0.5_seed0
Cifar100_pathological,AdaProxDitto,ada_cdr0.3_jr1.0_seed2,0.5983338887037654,0.5920026657780739,0.5983338887037654,0.5938979136748952,0.5304063651892476,0.11635514271075738,0.0009113438388234816,0.008180260752772683,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.3_jr1.0_seed2
Cifar100_pathological,AdaProxDitto,ada_cdr0.6_jr1.0_seed2,0.5980673108963679,0.592869043652116,0.5980673108963679,0.5926019664492308,0.5317764991459139,0.1294628229629693,0.000893736755082521,0.01387449209648684,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.6_jr1.0_seed2
Cifar100_pathological,AdaProxDitto,ada_cdr0.3_jr0.5_seed0,0.5973342219260247,0.5910696434521826,0.5973342219260247,0.589786964879367,0.5283891828336273,0.14861636496583705,0.0013800567146840556,0.022888509801220994,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.3_jr0.5_seed0
Cifar100_pathological,AdaProxDitto,ada_cdr0.0_jr1.0_seed2,0.5967344218593802,0.5922692435854715,0.5967344218593802,0.5907451513975631,0.5319805807785669,0.09791429985090422,0.0004505100418593355,0.002905805772630673,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.0_jr1.0_seed2
Cifar100_pathological,AdaProxDitto,ada_cdr0.6_jr1.0_seed1,0.5950683105631456,0.5809396867710763,0.5950683105631456,0.5873787179994077,0.5013650949040083,0.1433644358976152,0.0024804185843850706,0.018971739936011523,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.6_jr1.0_seed1
Cifar100_pathological,AdaProxDitto,ada_cdr0.3_jr1.0_seed1,0.5945351549483505,0.58487170943019,0.5945351549483505,0.5868886489350791,0.5183834593281484,0.11857042541141886,0.0006097641891897518,0.01482818345411023,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.3_jr1.0_seed1
Cifar100_pathological,AdaProxDitto,ada_cdr0.0_jr0.5_seed2,0.5940686437854049,0.59026991002999,0.5940686437854049,0.5830748927962397,0.5037934410181106,0.1382455782025982,0.0018512383029424553,0.017361235923939764,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.0_jr0.5_seed2
Cifar100_pathological,AdaProxDitto,ada_cdr0.0_jr1.0_seed1,0.5924025324891703,0.5828723758747084,0.5924025324891703,0.5830975389881718,0.5162705534707492,0.10172396764502896,0.0006758335962757444,0.003060420064467466,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.0_jr1.0_seed1
Cifar100_pathological,AdaProxDitto,ada_cdr0.3_jr0.5_seed2,0.5916027990669777,0.5917360879706764,0.5916027990669777,0.5813561180427684,0.5034547152194211,0.12660766429164924,0.001322723691075767,0.010761569848188855,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.3_jr0.5_seed2
Cifar100_pathological,AdaProxDitto,ada_cdr0.3_jr0.5_seed1,0.5873375541486171,0.5882705764745085,0.5873375541486171,0.5780070581912675,0.4917975886006577,0.1290129399436489,0.001245144801773787,0.015314345931293416,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.3_jr0.5_seed1
Cifar100_pathological,AdaProxDitto,ada_cdr0.0_jr0.5_seed1,0.5836054648450516,0.5886037987337555,0.5836054648450516,0.5752293800701395,0.486893347647429,0.13148681064603074,0.0010414688969994333,0.021010111517595444,0.0,0,/home/hipra/projects/PFLlib/experiments/runs/phase_dropout/Cifar100_pathological/AdaProxDitto/ada_cdr0.0_jr0.5_seed1
