round,client_id,Li,Lg,g_pos,mu_final,acc_global,acc_personalized,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
0,13,2.2868006229400635,0.0,0.0,0.05,6.521739130434782,8.695652173913043,0.05,0.0,0.0,0.08,0.059,0.059,1
0,15,2.323188066482544,0.0,0.0,0.05,0.0,7.142857142857143,0.05,0.0,0.0,0.08,0.059,0.059,1
0,1,2.3374507427215576,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,4,2.320032835006714,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,2,2.2781593799591064,0.0,0.0,0.05,23.076923076923077,36.92307692307692,0.05,0.0,0.0,0.08,0.059,0.059,1
0,8,2.3017618656158447,0.0,0.0,0.05,1.171875,1.953125,0.05,0.0,0.0,0.08,0.059,0.059,1
0,17,2.348762273788452,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,10,2.2886147499084473,0.0,0.0,0.05,25.78125,21.09375,0.05,0.0,0.0,0.08,0.059,0.059,1
0,11,2.307774066925049,0.0,0.0,0.05,0.78125,0.390625,0.05,0.0,0.0,0.08,0.059,0.059,1
0,12,2.32865309715271,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,6,2.2882232666015625,0.0,0.0,0.05,11.71875,9.765625,0.05,0.0,0.0,0.08,0.059,0.059,1
0,5,2.3510653972625732,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,0,2.348846197128296,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,18,2.308084011077881,0.0,0.0,0.05,0.0,0.390625,0.05,0.0,0.0,0.08,0.059,0.059,1
0,19,2.300082206726074,0.0,0.0,0.05,7.03125,4.6875,0.05,0.0,0.0,0.08,0.059,0.059,1
0,7,2.318739891052246,0.0,0.0,0.05,0.390625,0.390625,0.05,0.0,0.0,0.08,0.059,0.059,1
0,9,2.3214271068573,0.0,0.0,0.05,7.8125,8.203125,0.05,0.0,0.0,0.08,0.059,0.059,1
0,16,2.273015260696411,0.0,0.0,0.05,32.27272727272727,34.54545454545455,0.05,0.0,0.0,0.08,0.059,0.059,1
0,3,2.2985951900482178,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,14,2.3309590816497803,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
1,13,2.201324224472046,2.3134119510650635,0.0,0.05,19.565217391304348,21.73913043478261,0.05,-0.04966437016577225,0.0,0.08,0.059,0.059,1
1,18,2.0707015991210938,2.3134119510650635,0.0,0.05,15.625,96.875,0.05,-0.11083598275207598,0.0,0.08,0.059,0.059,1
1,11,2.396146297454834,2.3134119510650635,0.035138267394437005,0.05,4.296875,91.015625,0.05,0.035138267394437005,0.035138267394437005,0.1081106139155496,0.06743318417466487,0.06743318417466487,1
1,10,2.2964723110198975,2.3134119510650635,0.0,0.05,1.953125,99.21875,0.05,-0.0073493021751504534,0.0,0.08,0.059,0.059,1
1,1,2.248786211013794,2.3134119510650635,0.0,0.05,0.0,54.166666666666664,0.05,-0.028332860876346323,0.0,0.08,0.059,0.059,1
1,16,2.320935010910034,2.3134119510650635,0.0032466565332600794,0.05,10.909090909090908,68.18181818181819,0.05,0.0032466565332600794,0.0032466565332600794,0.08259732522660806,0.05977919756798242,0.05977919756798242,1
1,12,2.655698299407959,2.3134119510650635,0.137984162631211,0.05,11.328125,93.359375,0.05,0.137984162631211,0.137984162631211,0.1903873301049688,0.09211619903149063,0.09211619903149063,1
1,14,1.7271287441253662,2.3134119510650635,0.0,0.05,80.8080808080808,64.64646464646465,0.05,-0.29226312418677936,0.0,0.08,0.059,0.059,1
1,6,2.2345712184906006,2.3134119510650635,0.0,0.05,5.078125,95.703125,0.05,-0.03467410862070762,0.0,0.08,0.059,0.059,1
1,5,1.8363252878189087,2.3134119510650635,0.0,0.05,53.515625,100.0,0.05,-0.23095702024051196,0.0,0.08,0.059,0.059,1
1,17,2.1111080646514893,2.3134119510650635,0.0,0.05,0.390625,98.828125,0.05,-0.09151051069980937,0.0,0.08,0.059,0.059,1
1,0,1.8158501386642456,2.3134119510650635,0.0,0.05,66.66666666666667,100.0,0.05,-0.2421697146870232,0.0,0.08,0.059,0.059,1
