round,client_id,Li,Lg,g_pos,mu_final,acc_global,mu_prev,g_raw,g_pos_clipped,mu_star,mu_smoothed,mu_bounded,warmup_active
0,14,2.3024396896362305,0.0,0.0,0.05,4.296875,0.05,0.0,0.0,0.08,0.059,0.059,1
0,15,2.2981455326080322,0.0,0.0,0.05,15.234375,0.05,0.0,0.0,0.08,0.059,0.059,1
0,0,2.2915120124816895,0.0,0.0,0.05,9.644670050761421,0.05,0.0,0.0,0.08,0.059,0.059,1
0,7,2.2659575939178467,0.0,0.0,0.05,21.05263157894737,0.05,0.0,0.0,0.08,0.059,0.059,1
0,11,2.3382296562194824,0.0,0.0,0.05,2.34375,0.05,0.0,0.0,0.08,0.059,0.059,1
0,8,2.316394805908203,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,17,2.2901086807250977,0.0,0.0,0.05,15.234375,0.05,0.0,0.0,0.08,0.059,0.059,1
0,9,2.3154172897338867,0.0,0.0,0.05,5.46875,0.05,0.0,0.0,0.08,0.059,0.059,1
0,19,2.3108835220336914,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,3,2.3284294605255127,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,10,2.333733081817627,0.0,0.0,0.05,0.4291845493562232,0.05,0.0,0.0,0.08,0.059,0.059,1
0,6,2.3124306201934814,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,16,2.372708559036255,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,18,2.286761522293091,0.0,0.0,0.05,17.1875,0.05,0.0,0.0,0.08,0.059,0.059,1
0,1,2.2868335247039795,0.0,0.0,0.05,13.513513513513514,0.05,0.0,0.0,0.08,0.059,0.059,1
0,13,2.308227062225342,0.0,0.0,0.05,1.875,0.05,0.0,0.0,0.08,0.059,0.059,1
0,5,2.3489582538604736,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,2,2.2740771770477295,0.0,0.0,0.05,15.573770491803279,0.05,0.0,0.0,0.08,0.059,0.059,1
0,12,2.3066346645355225,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.08,0.059,0.059,1
0,4,2.303518772125244,0.0,0.0,0.05,6.293706293706293,0.05,0.0,0.0,0.08,0.059,0.059,1
1,19,2.195643186569214,2.307430863380432,0.0,0.05,5.078125,0.05,-0.04965969792865631,0.0,0.08,0.059,0.059,1
1,13,2.1987948417663574,2.307430863380432,0.0,0.05,10.625,0.05,-0.048225313962904984,0.0,0.08,0.059,0.059,1
1,14,2.1425483226776123,2.307430863380432,0.0,0.05,7.8125,0.05,-0.07413879933647838,0.0,0.08,0.059,0.059,1
1,12,2.1029558181762695,2.307430863380432,0.0,0.05,8.203125,0.05,-0.09279083727702377,0.0,0.08,0.059,0.059,1
1,11,2.26495099067688,2.307430863380432,0.0,0.05,5.078125,0.05,-0.018581604135458393,0.0,0.08,0.059,0.059,1
